	origin_times	tids	latitudes	longitudes	depths	max_hor_uncertainty	max_ver_uncertainty	azimuth_max_hor_unc	magnitudes	fractal_dimensions	mining_activity	location_quality	rel_error_hor	rel_error_ver
50	2012-05-05 08:34:20.603479+00:00	11	39.9213	29.8345	0.989583	8.69538	2.08225	24.162		0.0994881	False	1		
51	2012-05-05 09:27:49.099361+00:00	1863	40.0506	29.4382	0.026042	1.77302	1.65001	178.048			True	2		
52	2012-05-05 10:05:07.160633+00:00	2987	39.7322	30.6338	0.052083	5.113	1.89541	154.577			True	1		
53	2012-05-05 10:23:59.153865+00:00	449	38.9043	29.1918	2.29167	8.99945	11.5191	116.815			False	0		
54	2012-05-05 10:24:16.208732+00:00	384	39.8652	29.8348	2.96875	5.13913	2.39538	33.1931		0.110225	False	1		
55	2012-05-05 10:24:17.618104+00:00	1285	39.9354	29.8417	3.07292	9.31378	2.81847	31.7546		0.10622	False	1		
56	2012-05-05 10:24:19.319736+00:00	1375	39.9987	29.936	13.6979	7.75532	2.88403	39.6235		0.120803	False	1		
57	2012-05-05 10:24:20.618536+00:00	923	40.0759	29.9429	11.5104	7.78902	3.03655	32.8608		0.104657	False	1		
58	2012-05-05 10:34:19.205696+00:00	4100	40.0619	29.9576	15.9896	6.82357	2.1556	29.5956		0.0908548	False	1		
59	2012-05-05 10:40:46.152483+00:00	1169	39.7345	30.193	0.026042	1.77966	0.828788	115.556			True	2		
60	2012-05-05 11:00:56.157288+00:00	950	39.8426	28.5304	0.104167	8.9694	11.842	58.339			True	0		
61	2012-05-05 11:01:38.053162+00:00	713	39.9144	29.8491	2.96875	6.60329	3.22007	37.7627		0.107758	False	1		
62	2012-05-05 11:37:25.476068+00:00	4121	40.866	30.3765	0.007	0.560802	2.97783	130.608			True	2		
63	2012-05-05 11:37:25.787021+00:00	3808	40.8753	30.3655	7.491	0.331876	1.04946	88.1166			True	2		
64	2012-05-05 14:45:32.014855+00:00	355	40.2109	29.9916	0.026042	1.6895	1.09598	20.5821			True	2		
65	2012-05-05 14:45:33.834921+00:00	1011	40.2733	30.0883	2.122	4.35136	1.02303	45.624			True	2		
66	2012-05-05 14:52:54.258283+00:00	2696	39.404	28.7508	1.04167	8.77294	11.576	40.678			True	0		
67	2012-05-05 15:25:20.483713+00:00	1402	40.858	30.3992	0.009	0.538931	3.43956	11.8875			True	2		
68	2012-05-05 15:25:20.518088+00:00	28	40.8619	30.3963	8.512	1.01956	1.35693	18.0442			True	2		
69	2012-05-05 16:00:46.233745+00:00	2084	40.7913	29.6283	0.026042	1.07364	2.79739	77.0883			True	2		
70	2012-05-05 16:56:17.642383+00:00	703	39.8721	29.8057	6.92708	5.77748	2.53798	34.3153		0.102665	False	1		
71	2012-05-05 16:56:18.514393+00:00	1418	39.9213	29.8418	0.989583	5.66611	2.16195	30.3749		0.0994881	False	1		
72	2012-05-05 16:56:22.279134+00:00	1286	40.0899	29.9648	10.0521	9.44151	2.60672	33.5888	1.68675	0.126267	False	1		
73	2012-05-05 17:45:45.662935+00:00	2153	38.9113	29.1989	1.14583	8.99661	11.5642	117.036			False	0		
74	2012-05-05 17:46:03.403479+00:00	11	39.9213	29.8345	0.989583	8.69538	2.08225	24.162		0.0994881	False	1		
75	2012-05-05 18:29:12.913026+00:00	871	38.9037	29.1344	0.625	10.1313	11.6444	117.63			False	0		
76	2012-05-05 18:29:31.686286+00:00	1071	39.9284	29.849	3.07292	45.5278	5.00603	25.6627			False	0		
77	2012-05-05 21:10:05.518270+00:00	47	38.9526	29.1121	1.14583	9.17303	11.6567	118.915			False	0		
78	2012-05-05 21:10:23.283479+00:00	11	39.9213	29.8345	0.989583	8.69538	2.08225	24.162		0.0994881	False	1		
79	2012-05-05 21:10:26.296900+00:00	2510	40.0408	29.9504	10.0521	9.11443	2.74467	33.7786	1.55079	0.11505	False	1		
