xxxxx,2013-07-22 21:01:23.000,40.7068,30.321,3.9,xxxx,yyyyy,ML,1.1, 
xxxxx,2013-07-22 17:51:21.000,40.7152,30.3187,2.7,xxxx,yyyyy,ML,1.2, 
xxxxx,2013-07-22 15:02:44.000,40.5807,29.8412,14.8,xxxx,yyyyy,ML,1.5, 
xxxxx,2013-07-20 15:51:11.000,40.5935,29.7373,11.7,xxxx,yyyyy,ML,1.5, 
xxxxx,2013-07-20 14:09:51.000,40.0915,30.097,2.9,xxxx,yyyyy,ML,2.1, 
xxxxx,2013-07-20 12:29:34.000,40.8747,30.4315,7.0,xxxx,yyyyy,ML,1.9, 
xxxxx,2013-07-19 12:23:59.000,40.466,30.9482,3.3,xxxx,yyyyy,ML,2.0, 
xxxxx,2013-07-19 11:18:24.000,40.7483,30.144,7.0,xxxx,yyyyy,ML,1.6, 
xxxxx,2013-07-18 15:37:03.000,40.5797,29.7622,2.2,xxxx,yyyyy,ML,1.8, 
xxxxx,2013-07-18 13:59:25.000,40.8842,30.5077,5.5,xxxx,yyyyy,ML,1.2, 
xxxxx,2013-07-18 12:10:52.000,40.2433,30.195,4.8,xxxx,yyyyy,ML,1.1, 
xxxxx,2013-07-18 11:58:45.000,40.6443,30.3382,5.1,xxxx,yyyyy,ML,1.2, 
xxxxx,2013-07-18 03:32:39.000,40.6865,30.661,12.3,xxxx,yyyyy,ML,1.5, 
xxxxx,2013-07-17 14:42:50.000,40.679,30.6167,7.1,xxxx,yyyyy,ML,1.8, 
xxxxx,2013-07-17 14:25:18.000,40.7195,30.6073,3.3,xxxx,yyyyy,ML,1.4, 
xxxxx,2013-07-17 13:47:31.000,40.6992,30.6068,5.5,xxxx,yyyyy,ML,1.2, 
xxxxx,2013-07-17 12:48:20.000,40.8818,30.4917,8.6,xxxx,yyyyy,ML,1.6, 
xxxxx,2013-07-17 12:29:09.000,40.5268,30.8445,8.2,xxxx,yyyyy,ML,1.7, 
xxxxx,2013-07-16 14:57:07.000,40.6953,30.0873,4.8,xxxx,yyyyy,ML,1.1, 
xxxxx,2013-07-16 12:33:40.000,40.425,30.0053,3.3,xxxx,yyyyy,ML,1.1, 
xxxxx,2013-07-16 11:02:42.000,40.8687,30.4452,5.5,xxxx,yyyyy,ML,1.2, 
xxxxx,2013-07-16 00:22:31.000,40.6827,30.6465,14.2,xxxx,yyyyy,ML,1.6, 
xxxxx,2013-07-15 19:32:02.000,40.6442,30.3767,4.9,xxxx,yyyyy,ML,1.7, 
xxxxx,2013-07-15 15:53:59.000,40.7065,30.81,10.4,xxxx,yyyyy,ML,1.4, 
xxxxx,2013-07-15 02:05:21.000,40.8545,30.8767,8.0,xxxx,yyyyy,ML,1.8, 
xxxxx,2013-07-14 15:31:25.000,40.1073,30.0833,13.8,xxxx,yyyyy,ML,1.6, 
xxxxx,2013-07-13 08:52:34.000,40.7928,30.4415,11.0,xxxx,yyyyy,ML,1.2, 
xxxxx,2013-07-09 16:42:22.000,40.4498,29.9787,8.9,xxxx,yyyyy,ML,1.3, 
xxxxx,2013-07-09 16:27:48.000,40.7062,30.7907,4.8,xxxx,yyyyy,ML,1.1, 
xxxxx,2013-07-07 06:07:09.000,40.7182,30.4322,13.6,xxxx,yyyyy,ML,1.0, 
xxxxx,2013-07-06 15:42:19.000,40.9905,30.0988,10.5,xxxx,yyyyy,ML,1.0, 
xxxxx,2013-07-06 11:29:42.000,40.3783,30.1037,6.7,xxxx,yyyyy,ML,1.4, 
xxxxx,2013-07-05 15:29:52.000,40.5837,29.7602,5.2,xxxx,yyyyy,ML,1.3, 
xxxxx,2013-07-03 10:05:03.000,40.1498,29.983,6.0,xxxx,yyyyy,ML,2.0, 
xxxxx,2013-07-03 09:22:15.000,40.5727,30.5448,4.7,xxxx,yyyyy,ML,2.5, 
xxxxx,2013-07-02 14:55:23.000,40.1412,29.9985,3.2,xxxx,yyyyy,ML,2.2, 
xxxxx,2013-07-02 11:14:51.000,40.1555,30.0118,6.0,xxxx,yyyyy,ML,2.3, 
xxxxx,2013-07-01 11:13:16.000,40.972,30.596,2.6,xxxx,yyyyy,ML,1.3, 
xxxxx,2013-06-30 07:54:48.000,40.515,30.5087,14.3,xxxx,yyyyy,ML,1.1, 
xxxxx,2013-06-30 03:22:06.000,40.6775,30.6133,6.5,xxxx,yyyyy,ML,3.3, 
xxxxx,2013-06-30 02:53:56.000,40.6825,30.6687,12.0,xxxx,yyyyy,ML,1.8, 
xxxxx,2013-06-29 16:47:38.000,40.8903,30.9192,9.3,xxxx,yyyyy,ML,2.1, 
xxxxx,2013-06-29 11:33:05.000,40.6135,30.3012,6.0,xxxx,yyyyy,ML,1.0, 
xxxxx,2013-06-29 10:53:19.000,40.8807,30.6417,5.0,xxxx,yyyyy,ML,1.6, 
xxxxx,2013-06-28 16:10:53.000,40.907,30.6482,5.2,xxxx,yyyyy,ML,1.7, 
xxxxx,2013-06-28 14:00:12.000,40.1343,30.1043,5.5,xxxx,yyyyy,ML,1.8, 
xxxxx,2013-06-27 17:44:14.000,40.5342,30.5822,9.4,xxxx,yyyyy,ML,1.1, 
xxxxx,2013-06-26 17:31:31.000,40.7167,30.5888,3.4,xxxx,yyyyy,ML,1.6, 
xxxxx,2013-06-26 17:16:58.000,40.7148,30.6242,9.8,xxxx,yyyyy,ML,1.7, 
xxxxx,2013-06-26 12:57:45.000,40.881,30.4693,2.8,xxxx,yyyyy,ML,1.6, 
xxxxx,2013-06-26 08:27:20.000,40.7057,30.5812,15.0,xxxx,yyyyy,ML,1.4, 
xxxxx,2013-06-24 21:23:35.000,40.6493,30.6658,5.6,xxxx,yyyyy,ML,1.2, 
xxxxx,2013-06-24 16:17:01.000,40.9647,30.6123,4.3,xxxx,yyyyy,ML,1.5, 
xxxxx,2013-06-24 15:11:04.000,40.8488,30.4577,3.3,xxxx,yyyyy,ML,1.4, 
xxxxx,2013-06-24 09:25:07.000,40.8263,30.5213,3.2,xxxx,yyyyy,ML,1.5, 
xxxxx,2013-06-23 10:55:05.000,40.7022,30.6505,13.1,xxxx,yyyyy,ML,1.2, 
xxxxx,2013-06-22 20:09:46.000,40.6985,30.6412,13.0,xxxx,yyyyy,ML,1.2, 
xxxxx,2013-06-22 16:01:28.000,40.122,30.1672,6.0,xxxx,yyyyy,ML,1.2, 
xxxxx,2013-06-22 13:28:25.000,40.862,30.486,5.8,xxxx,yyyyy,ML,1.6, 
xxxxx,2013-06-22 10:22:54.000,40.2477,29.9015,6.0,xxxx,yyyyy,ML,1.2, 
xxxxx,2013-06-21 16:23:28.000,40.1048,30.0775,4.5,xxxx,yyyyy,ML,2.0, 
xxxxx,2013-06-21 14:59:11.000,40.479,30.3538,11.7,xxxx,yyyyy,ML,1.1, 
xxxxx,2013-06-21 02:17:01.000,40.514,30.4422,9.8,xxxx,yyyyy,ML,1.1, 
xxxxx,2013-06-20 15:09:47.000,40.5838,29.7902,5.2,xxxx,yyyyy,ML,1.7, 
xxxxx,2013-06-20 12:25:44.000,40.404,30.0022,8.2,xxxx,yyyyy,ML,1.3, 
xxxxx,2013-06-20 11:46:34.000,40.5897,30.4315,3.5,xxxx,yyyyy,ML,1.1, 
xxxxx,2013-06-19 13:27:36.000,40.2105,29.9555,11.1,xxxx,yyyyy,ML,1.3, 
xxxxx,2013-06-18 09:08:21.000,40.6853,30.1007,3.5,xxxx,yyyyy,ML,1.1, 
xxxxx,2013-06-15 15:04:57.000,40.5928,29.8472,11.4,xxxx,yyyyy,ML,1.9, 
xxxxx,2013-06-15 00:55:01.000,40.7367,30.1947,12.6,xxxx,yyyyy,ML,1.1, 
xxxxx,2013-06-08 10:55:55.000,40.7403,30.7545,8.5,xxxx,yyyyy,ML,1.1, 
xxxxx,2013-06-07 08:56:22.000,40.819,30.3972,5.5,xxxx,yyyyy,ML,1.2, 
xxxxx,2013-06-07 01:22:45.000,40.7052,30.3602,11.2,xxxx,yyyyy,ML,1.6, 
xxxxx,2013-06-05 11:50:45.000,40.9363,29.7285,8.7,xxxx,yyyyy,ML,1.4, 
xxxxx,2013-06-04 10:49:58.000,40.945,30.5143,3.0,xxxx,yyyyy,ML,1.2, 
xxxxx,2013-06-04 09:12:26.000,40.594,29.7748,5.3,xxxx,yyyyy,ML,1.1, 
xxxxx,2013-06-03 12:39:03.000,40.3948,30.0867,3.6,xxxx,yyyyy,ML,1.0, 
xxxxx,2013-06-03 10:49:33.000,40.2853,29.9245,3.5,xxxx,yyyyy,ML,1.2, 
xxxxx,2013-06-01 12:21:09.000,40.1355,29.9892,4.3,xxxx,yyyyy,ML,1.8, 
xxxxx,2013-06-01 11:56:20.000,40.2403,29.9142,5.8,xxxx,yyyyy,ML,1.2, 
xxxxx,2013-06-01 10:30:47.000,40.9427,30.6128,6.0,xxxx,yyyyy,ML,1.2, 
