Date        Time      Latit(N)	Long(E) Depth(km)  ML 
03.06.2012  11:09:01  40.2178	 29.9348   3.8       1.3
03.06.2012  22:26:47  40.6637	 30.4793   2.0       1.0
04.06.2012  06:13:19  40.6967	 30.1985   4.6       0.1
04.06.2012  11:50:17  40.5547	 30.1140   8.8       0.9
04.06.2012  18:19:25  40.4960	 30.2298   2.7       1.6
04.06.2012  20:45:54  40.6325	 30.5400   7.5       0.6
05.06.2012  07:52:43  40.2073	 29.9607   11.2      0.8
05.06.2012  10:11:10  40.7718	 29.7487   5.5       1.2
05.06.2012  14:55:18  40.6657	 30.1633   2.0       0.5
06.06.2012  10:01:26  40.6573	 30.1505   10.9      0.2
06.06.2012  14:19:35  40.4642	 30.2833   1.0       0.2
07.06.2012  01:31:00  40.4552	 30.0702   9.9       0.6
07.06.2012  11:38:03  40.2530	 30.1672   2.3       1.0
07.06.2012  13:46:38  40.6848	 30.8217   9.6       0.8
07.06.2012  15:26:49  40.6242	 30.5973   11.0      0.9
08.06.2012  07:15:49  40.4162	 29.8975   8.9       1.4
09.06.2012  08:50:18  40.6833	 30.1405   5.5       0.5
09.06.2012  09:04:51  40.2142	 29.9575   11.2      1.1
09.06.2012  09:16:39  40.2335	 29.9602   14.3      0.7
10.06.2012  01:32:01  40.4552	 30.6933   11.7      0.3
10.06.2012  07:31:04  40.8167	 30.3888   4.4       0.8
10.06.2012  16:21:55  40.4992	 30.1733   13.5      0.5
11.06.2012  07:19:20  40.3685	 30.0467   2.5       1.6
11.06.2012  08:56:06  40.1733	 29.9202   11.9      1.6
11.06.2012  15:00:05  40.8963	 30.4217   4.2       1.9
11.06.2012  15:08:43  40.4688	 30.3385   4.0       1.5
11.06.2012  21:54:48  40.7458	 30.3953   6.1       0.9
11.06.2012  23:44:15  40.7732	 30.3982   7.7       0.9
12.06.2012  03:43:17  40.6922	 30.5213   9.1       0.6
12.06.2012  04:53:50  40.7577	 30.3980   9.7       2.7
12.06.2012  05:02:05  40.7650	 30.4202   6.4       1.0
12.06.2012  07:19:49  40.7522	 30.3708   5.1       1.2
12.06.2012  12:22:50  40.7698	 30.4095   8.9       2.2
12.06.2012  12:31:40  40.7458	 30.3890   8.0       0.9
12.06.2012  12:55:11  40.7583	 30.3597   9.2       0.9
12.06.2012  15:45:25  40.7383	 30.4075   13.8      0.9
12.06.2012  16:17:13  40.7883	 30.4323   8.0       0.9
13.06.2012  07:03:28  40.3808	 30.0640   1.8       0.9
13.06.2012  09:25:34  40.1630	 29.8393   11.7      1.4
13.06.2012  15:12:25  40.8573	 29.7287   9.8       1.4
13.06.2012  15:54:28  40.2205	 29.9617   10.8      1.6
14.06.2012  02:48:17  40.4068	 30.1988   6.1       0.5
14.06.2012  07:40:18  40.3822	 30.0103   3.4       1.3
14.06.2012  19:23:17  40.7705	 30.3945   5.5       0.7
15.06.2012  08:05:07  40.7587	 30.3738   11.1      0.9
15.06.2012  09:15:07  40.6968	 30.1618   1.6       0.6
15.06.2012  10:02:58  40.5610	 30.1183   8.2       1.0
15.06.2012  12:47:37  40.6017	 30.4448   5.0       1.2
15.06.2012  16:10:59  40.6283	 30.3768   7.6       0.6
15.06.2012  16:41:12  40.9480	 30.4962   6.4       0.4
16.06.2012  04:07:10  40.2638	 30.3232   16.8      0.5
