Date        Time      Latit(N)	Long(E) Depth(km)  ML 
09.10.2012  19:54:32  40.6377	 30.6192   14.1      1.2
11.10.2012  07:11:02  40.1560	 29.9622   6.7       1.9
11.10.2012  12:02:34  40.2367	 30.0070   6.8       1.6
11.10.2012  17:03:56  40.9482	 30.5880   3.3       1.5
11.10.2012  19:46:01  40.1475	 30.1073   2.9       0.6
12.10.2012  15:08:50  40.9570	 30.5267   7.0       1.5
12.10.2012  21:36:44  40.4848	 30.2220   11.9      0.4
13.10.2012  08:43:53  40.2203	 29.9183   10.8      1.1
13.10.2012  10:55:52  40.1462	 29.9928   5.0       1.8
13.10.2012  14:06:19  40.4177	 30.0020   2.5       1.7
14.10.2012  04:24:15  40.3917	 30.1603   3.8       1.2
14.10.2012  08:36:39  40.7050	 30.3027   12.0      2.8
14.10.2012  15:47:25  40.7118	 30.3265   11.6      1.6
16.10.2012  12:21:21  40.2208	 30.6475   3.4       1.7
18.10.2012  11:19:44  40.7785	 30.3692   15.1      1.2
18.10.2012  20:49:11  40.3612	 30.0195   6.0       2.0
18.10.2012  22:27:28  40.7772	 30.4153   12.5      1.3
18.10.2012  23:29:13  40.6993	 30.3742   8.7       1.0
19.10.2012  07:12:24  40.8433	 30.4468   4.7       1.2
19.10.2012  09:08:18  40.7932	 30.4652   11.8      1.3
19.10.2012  11:46:40  40.4148	 29.9952   3.6       1.1
20.10.2012  09:54:18  40.1410	 29.9793   11.9      1.7
20.10.2012  11:38:32  40.2838	 30.0487   5.5       1.4
21.10.2012  23:43:02  40.6552	 30.6260   11.1      1.6
22.10.2012  10:23:54  40.1800	 29.9172   5.5       1.7
22.10.2012  13:38:10  40.2458	 30.0017   8.5       1.3
22.10.2012  14:12:52  40.4860	 30.3823   14.1      1.3
23.10.2012  03:08:01  40.6595	 30.5990   10.5      1.4
23.10.2012  15:07:34  40.5903	 30.3675   1.5       1.7
23.10.2012  21:59:34  40.7862	 30.9522   5.5       2.2
24.10.2012  01:03:59  40.7078	 30.6795   8.5       2.1
24.10.2012  10:48:29  40.2102	 29.9213   8.0       1.4
24.10.2012  18:34:04  40.9472	 31.2563   5.3       2.1
24.10.2012  23:40:05  40.5953	 30.7923   15.5      1.1
25.10.2012  03:48:51  40.3108	 30.4625   7.9       0.8
25.10.2012  05:25:20  40.4807	 30.7372   15.3      1.2
25.10.2012  17:11:23  40.4885	 30.0397   12.5      0.9
28.10.2012  23:39:57  40.4217	 30.0220   10.9      1.1
30.10.2012  13:39:59  40.2033	 30.0008   4.4       1.6
30.10.2012  21:00:10  40.7647	 30.9277   8.1       2.3
31.10.2012  11:40:25  40.9048	 30.6288   16.9      1.5
31.10.2012  12:17:56  40.5627	 30.8067   5.5       1.5
01.11.2012  06:33:26  40.1033	 29.9273   15.0      1.5
01.11.2012  12:22:33  40.8600	 30.6757   6.0       1.2
01.11.2012  13:52:16  40.4288	 30.1147   4.5       0.9
01.11.2012  14:22:26  40.4708	 30.3612   3.7       0.7
02.11.2012  09:46:48  40.1760	 29.9950   6.4       1.3
02.11.2012  13:19:09  40.7663	 30.3883   9.5       2.2
02.11.2012  13:41:34  40.7613	 30.4045   15.2      0.9
02.11.2012  13:43:29  40.7403	 30.4488   13.3      1.1
02.11.2012  15:38:10  40.5848	 30.3780   3.2       1.6
03.11.2012  11:05:56  40.8828	 29.7072   9.4       1.3
03.11.2012  13:54:52  40.4925	 30.0880   18.8      0.9
03.11.2012  14:10:15  40.0747	 30.1773   2.8       1.7
03.11.2012  14:49:43  40.9710	 30.6045   6.1       1.5
04.11.2012  01:39:18  40.6555	 31.1682   6.3       1.6
04.11.2012  05:30:50  40.4777	 30.2328   3.7       0.5
04.11.2012  12:26:48  40.5088	 30.6858   9.5       1.1
05.11.2012  08:37:43  40.2060	 29.9515   4.5       1.3
06.11.2012  11:48:16  40.4245	 30.0642   3.4       1.0
06.11.2012  12:39:45  40.9697	 30.5365   13.0      1.5
07.11.2012  02:12:12  40.5965	 30.2263   8.0       0.6
07.11.2012  12:09:41  40.1490	 30.0048   10.9      1.2
07.11.2012  13:42:56  40.4393	 31.0165   8.0       1.9
08.11.2012  15:46:00  40.1417	 30.0195   7.8       2.1
09.11.2012  12:21:31  39.8637	 29.9580   1.1       2.0
09.11.2012  20:03:53  40.6887	 30.6348   10.2      2.1
10.11.2012  08:56:16  40.1697	 29.9962   7.9       1.0
10.11.2012  10:22:15  40.1015	 30.0123   8.7       1.2
11.11.2012  06:17:59  40.4343	 30.0875   5.5       1.3
12.11.2012  00:10:07  40.7093	 30.0155   5.1       1.2
12.11.2012  13:25:07  40.2198	 29.9587   2.1       1.5
12.11.2012  14:51:49  40.9135	 30.6043   4.9       1.4
13.11.2012  12:33:22  40.4143	 30.0447   6.5       1.1
13.11.2012  16:38:30  40.9993	 30.7125   12.0      1.3
13.11.2012  18:17:30  40.7195	 30.1582   4.7       2.1
16.11.2012  01:54:57  39.8103	 30.5165   8.0       3.5
16.11.2012  02:57:52  40.6960	 30.3570   11.8      0.9
16.11.2012  12:20:16  40.1690	 29.9153   4.9       1.0
16.11.2012  12:56:19  40.4132	 29.9865   5.5       1.2
16.11.2012  13:42:31  40.1772	 29.9442   11.5      1.1
17.11.2012  12:57:11  40.3012	 30.0215   4.0       1.1
18.11.2012  09:41:37  40.1905	 29.9522   1.9       1.1
18.11.2012  22:02:29  40.9487	 30.1047   12.7      0.3
18.11.2012  22:25:13  40.5228	 30.0067   7.8       0.7
19.11.2012  02:16:02  40.6968	 30.4085   10.7      0.3
19.11.2012  07:59:43  40.6688	 30.4645   5.3       1.0
19.11.2012  14:22:32  40.1360	 29.9960   9.0       1.3
20.11.2012  13:58:50  40.8972	 31.2897   1.9       1.7
20.11.2012  15:25:31  40.1665	 29.9205   4.6       1.3
21.11.2012  09:14:22  40.1730	 29.9578   8.0       1.4
21.11.2012  13:00:41  40.4135	 30.0005   2.7       1.2
21.11.2012  13:25:31  40.0628	 30.3372   5.1       1.1
21.11.2012  14:08:57  40.4168	 29.9982   9.5       0.9
22.11.2012  03:31:11  40.4532	 30.1713   7.7       0.4
22.11.2012  10:25:25  40.1083	 29.9840   9.7       1.7
22.11.2012  23:32:57  40.8042	 31.1172   6.1       1.7
23.11.2012  08:43:53  40.1702	 29.9472   5.3       1.6
23.11.2012  09:49:43  40.4193	 30.2348   5.5       0.5
23.11.2012  11:42:49  40.1152	 29.9727   7.6       1.3
23.11.2012  22:38:50  40.7028	 30.3980   8.7       0.6
24.11.2012  12:06:19  40.4135	 29.9845   4.3       1.2
25.11.2012  10:56:13  40.1218	 29.9953   7.5       1.4
26.11.2012  16:13:30  40.3237	 30.6773   8.7       0.5
27.11.2012  01:46:46  40.8895	 30.9192   8.6       1.3
27.11.2012  05:11:32  40.4813	 30.4565   4.5       1.1
27.11.2012  08:44:06  40.2907	 30.3185   8.0       0.3
27.11.2012  10:59:54  40.8828	 30.4108   4.4       2.0
27.11.2012  11:34:29  40.1620	 29.9273   8.9       0.9
27.11.2012  12:36:08  40.1342	 29.9920   8.6       1.1
28.11.2012  12:02:37  40.1365	 30.0042   13.8      1.0
28.11.2012  12:20:39  40.7115	 30.7713   4.4       1.1
28.11.2012  13:42:44  40.2040	 29.9955   2.4       0.8
29.11.2012  11:07:35  40.1402	 29.9785   11.4      1.4
29.11.2012  11:40:46  40.2055	 29.9660   5.0       1.0
29.11.2012  14:53:09  40.4003	 29.9763   5.6       1.2
29.11.2012  22:38:30  40.4015	 30.1283   5.2       0.5
01.12.2012  09:16:01  40.1885	 29.9722   11.9      0.7
01.12.2012  12:41:34  40.1298	 29.9800   8.2       1.5
01.12.2012  15:20:24  40.7115	 30.8000   6.0       1.1
02.12.2012  02:48:02  40.4005	 30.1885   7.2       0.4
02.12.2012  06:09:36  40.7202	 30.1505   4.8       0.9
02.12.2012  08:10:40  40.1530	 29.9148   4.7       1.2
02.12.2012  13:41:26  40.7107	 30.6807   5.2       0.9
02.12.2012  14:53:11  40.2310	 30.0572   5.0       0.8
03.12.2012  12:53:12  40.6322	 30.6618   11.0      1.2
03.12.2012  13:17:36  40.7157	 30.1725   4.3       0.9
04.12.2012  13:04:10  40.8635	 30.4475   4.3       1.3
04.12.2012  13:31:34  40.4002	 29.9772   7.7       1.0
04.12.2012  14:21:47  40.1780	 30.0655   1.2       0.9
04.12.2012  14:22:21  40.1700	 30.0663   1.8       1.5
04.12.2012  14:45:04  40.1408	 29.9968   7.0       2.1
05.12.2012  09:26:57  40.1193	 29.9885   5.1       1.8
05.12.2012  09:56:32  40.4465	 30.7085   6.2       2.1
05.12.2012  10:02:21  40.4422	 30.7118   6.5       0.8
05.12.2012  10:14:34  40.2448	 29.9753   6.0       0.7
05.12.2012  13:51:49  40.5762	 30.1712   5.7       0.8
05.12.2012  23:13:35  40.6662	 30.3978   7.0       0.4
05.12.2012  23:51:23  40.4443	 30.7053   8.0       0.7
05.12.2012  23:59:08  40.4463	 30.7048   6.3       1.9
06.12.2012  10:15:32  40.1300	 29.9947   9.2       1.0
06.12.2012  12:55:53  40.1740	 29.9247   5.3       1.1
06.12.2012  14:01:10  40.5335	 30.0720   7.6       0.8
07.12.2012  05:48:31  40.6863	 30.5805   7.1       0.7
07.12.2012  05:49:31  40.6767	 30.5810   7.2       0.5
07.12.2012  19:40:27  40.7945	 31.0335   10.8      1.3
08.12.2012  09:14:16  40.1615	 30.3630   8.8       0.7
08.12.2012  10:20:52  40.2132	 29.9508   8.8       0.5
08.12.2012  12:41:13  40.2072	 29.9068   5.1       1.2
08.12.2012  13:03:34  40.2175	 29.9287   6.0       0.9
08.12.2012  13:36:10  40.4158	 30.0002   8.0       1.1
08.12.2012  15:27:43  40.6987	 30.3302   7.2       0.6
08.12.2012  15:44:55  40.7110	 30.3385   7.3       1.2
08.12.2012  16:01:08  40.6857	 30.6358   10.9      0.7
08.12.2012  16:05:18  40.7048	 30.6548   7.6       1.9
08.12.2012  16:13:34  40.6855	 30.6713   14.5      0.4
08.12.2012  16:48:14  40.6838	 30.5970   16.6      0.6
09.12.2012  04:45:36  40.7055	 30.6580   11.8      3.5
09.12.2012  04:48:06  40.6962	 30.6085   14.0      0.8
09.12.2012  04:48:35  40.7047	 30.6407   11.9      1.2
09.12.2012  07:47:34  40.5027	 30.3952   6.3       0.4
09.12.2012  09:16:50  40.1323	 29.9925   8.9       1.7
09.12.2012  11:51:57  40.7088	 30.6578   9.0       1.8
09.12.2012  11:52:53  40.7073	 30.6515   9.5       1.7
09.12.2012  13:32:23  40.1638	 29.9360   5.2       1.2
09.12.2012  13:58:37  40.7080	 30.6657   10.8      2.2
10.12.2012  00:26:29  40.7045	 30.6185   13.6      0.8
10.12.2012  15:17:17  40.1367	 30.0068   9.2       0.8
10.12.2012  19:51:07  40.7015	 30.6505   9.3       1.7
10.12.2012  22:10:19  40.7547	 30.3932   10.4      0.7
11.12.2012  10:12:34  40.1645	 29.9410   5.6       1.3
11.12.2012  15:06:19  40.1320	 30.0207   6.0       0.8
12.12.2012  13:17:59  40.4260	 30.0937   5.6       0.7
12.12.2012  23:46:52  40.5092	 30.4640   6.6       0.9
13.12.2012  13:37:45  40.4222	 30.0208   5.5       0.8
13.12.2012  13:38:37  40.7122	 30.6440   3.2       0.9
13.12.2012  13:58:18  40.1957	 29.9632   4.7       1.0
14.12.2012  01:55:30  40.7593	 30.3922   9.7       0.7
14.12.2012  05:06:25  40.7695	 30.9110   3.8       2.1
14.12.2012  12:41:21  40.1265	 29.9932   11.5      1.5
16.12.2012  02:38:02  40.7732	 30.9152   6.6       1.7
16.12.2012  04:06:48  40.6283	 30.3307   2.8       0.9
16.12.2012  11:30:15  40.2075	 29.9625   5.3       1.3
16.12.2012  22:59:33  40.8033	 31.0160   5.1       3.4
17.12.2012  09:08:44  40.9095	 30.6355   14.4      1.3
17.12.2012  14:39:34  40.6068	 30.4370   4.1       0.9
17.12.2012  18:31:15  40.4157	 30.6752   11.9      0.9
18.12.2012  10:29:19  40.2243	 29.9708   2.9       1.3
18.12.2012  15:54:59  40.3548	 30.7827   1.7       1.1
19.12.2012  15:08:58  40.1905	 30.0227   5.8       0.8
20.12.2012  00:38:07  40.3012	 30.8098   3.1       1.2
20.12.2012  10:28:32  40.8853	 30.4115   3.0       1.5
20.12.2012  12:51:04  40.1522	 30.0210   1.9       1.6
20.12.2012  13:03:57  40.7093	 30.1758   3.8       1.5
20.12.2012  13:40:18  40.3828	 29.7157   3.1       1.9
20.12.2012  14:16:22  40.4692	 30.3560   4.9       0.9
21.12.2012  12:34:55  40.3893	 29.9442   1.5       1.3
21.12.2012  12:40:54  40.2543	 29.9552   10.3      0.7
21.12.2012  12:43:36  40.2108	 29.9403   17.4      0.8
22.12.2012  10:04:01  39.9718	 30.2747   4.1       1.4
22.12.2012  11:18:29  40.1892	 29.7627   1.0       1.7
22.12.2012  14:51:05  40.2492	 29.8685   5.3       1.2
22.12.2012  14:55:09  40.2345	 29.9822   9.6       1.4
22.12.2012  15:19:28  40.2793	 30.1002   1.9       0.6
22.12.2012  19:51:41  40.6965	 30.5430   2.9       1.1
23.12.2012  10:19:38  40.1285	 30.0037   2.9       1.1
23.12.2012  19:47:37  40.3295	 30.0863   6.7       1.5
24.12.2012  00:55:34  40.6848	 30.2643   3.9       0.2
24.12.2012  10:16:19  40.2417	 30.0750   3.7       1.2
24.12.2012  11:44:22  40.2347	 29.9197   4.9       1.0
24.12.2012  12:29:08  40.8870	 30.4107   4.8       1.4
24.12.2012  13:34:18  39.8373	 30.8135   1.4       2.5
24.12.2012  23:30:19  40.3750	 30.0375   7.1       0.4
25.12.2012  05:27:18  40.6713	 30.6748   2.0       0.5
25.12.2012  10:14:15  40.1475	 29.9955   6.8       1.6
25.12.2012  12:40:31  40.7713	 30.9340   4.0       1.7
25.12.2012  13:15:54  40.6052	 30.0932   3.1       0.8
25.12.2012  13:55:37  41.1462	 29.7558   2.0       1.8
26.12.2012  00:20:28  40.2478	 30.2430   12.2      0.9
26.12.2012  02:25:00  40.9333	 30.7677   11.8      0.9
26.12.2012  03:16:57  40.6977	 30.5953   19.0      1.3
26.12.2012  10:41:55  40.3685	 30.0330   1.1       0.7
26.12.2012  11:42:42  40.1960	 29.9855   7.5       1.6
26.12.2012  13:27:49  40.4120	 29.9942   3.6       1.0
26.12.2012  14:22:02  40.2660	 30.0388   5.5       1.3
26.12.2012  14:35:40  40.2808	 30.0003   3.1       1.2
27.12.2012  07:31:20  40.6897	 30.0993   4.9       0.6
27.12.2012  13:20:56  40.2972	 29.9988   4.5       1.4
27.12.2012  14:22:51  40.3110	 29.9650   9.1       1.1
28.12.2012  07:41:50  40.6785	 30.1280   1.7       0.7
28.12.2012  11:43:14  40.2210	 29.9388   4.2       1.3
28.12.2012  13:13:18  40.2782	 29.9893   3.3       1.3
29.12.2012  00:02:00  40.4813	 30.7542   19.8      0.6
29.12.2012  06:15:10  40.6285	 30.5542   11.8      0.6
29.12.2012  10:29:40  40.1437	 29.9888   7.9       1.3
30.12.2012  06:50:51  40.6865	 30.6042   2.6       1.0
30.12.2012  15:42:45  40.7708	 30.9435   6.8       1.8
31.12.2012  03:47:55  40.6992	 31.1888   2.0       1.2
31.12.2012  11:31:03  40.5322	 30.0813   6.5       0.8
31.12.2012  19:00:50  40.7262	 30.4500   8.2       1.5
01.01.2013  04:13:56  40.7402	 30.4800   13.4      0.6
01.01.2013  13:09:25  40.2500	 29.9832   3.3       0.6
01.01.2013  15:52:37  40.6660	 30.4305   7.0       0.4
01.01.2013  20:41:56  40.6540	 30.4095   12.7      0.4
02.01.2013  00:14:08  40.7180	 30.4778   8.5       0.8
02.01.2013  19:48:00  40.5092	 30.0555   9.7       0.5
03.01.2013  09:36:07  40.1913	 29.9877   4.5       1.5
03.01.2013  15:48:15  40.9480	 30.6118   6.5       0.9
03.01.2013  21:48:56  40.7163	 30.5442   3.2       0.8
04.01.2013  01:21:58  40.6650	 30.4403   4.3       0.3
04.01.2013  02:29:46  40.6318	 30.4498   7.8       0.4
04.01.2013  04:21:38  40.5975	 30.3883   3.2       0.4
04.01.2013  09:24:54  40.2103	 29.9118   9.8       1.0
04.01.2013  13:00:57  40.4927	 29.7287   2.5       1.5
04.01.2013  15:22:15  40.2273	 29.9057   4.1       1.3
04.01.2013  20:05:15  40.1677	 29.9333   2.6       1.0
05.01.2013  13:09:22  40.4065	 30.0327   1.8       1.0
05.01.2013  13:52:21  40.9778	 30.6092   8.1       1.7
05.01.2013  14:23:23  40.5592	 30.1180   3.3       0.9
05.01.2013  23:12:25  40.7340	 30.6405   6.9       1.0
06.01.2013  10:30:47  40.9427	 30.6128   6.0       1.2
06.01.2013  11:56:20  40.2403	 29.9142   5.8       1.2
06.01.2013  12:21:09  40.1355	 29.9892   4.3       1.8
07.01.2013  11:13:16  40.9720	 30.5960   2.6       1.3
09.01.2013  09:37:05  40.1843	 29.9860   3.6       1.1
09.01.2013  13:41:02  40.7173	 30.4647   7.7       1.6
10.01.2013  01:18:41  40.6997	 30.4667   7.0       1.0
10.01.2013  08:53:05  40.8500	 31.0953   11.5      1.4
10.01.2013  14:16:19  40.2770	 30.0542   4.1       1.0
10.01.2013  17:51:46  40.6812	 30.4482   13.8      0.6
10.01.2013  19:11:41  40.6840	 30.4052   10.8      0.7
11.01.2013  08:38:05  40.2055	 29.9508   5.1       1.4
11.01.2013  10:20:09  40.1875	 30.0025   2.1       1.9
11.01.2013  12:10:25  40.4200	 30.0420   7.0       0.3
11.01.2013  12:46:37  40.3977	 30.0353   2.5       0.9
12.01.2013  13:55:34  40.1593	 30.0052   1.7       1.5
13.01.2013  00:07:28  40.3775	 30.0427   1.8       1.8
13.01.2013  00:32:37  40.2083	 30.0537   2.2       1.0
13.01.2013  02:01:22  40.7185	 29.9943   10.9      1.1
13.01.2013  02:07:16  40.7155	 30.0003   6.8       0.9
13.01.2013  02:33:28  40.7183	 30.0362   10.9      0.8
13.01.2013  12:37:07  40.2143	 29.9265   8.1       1.1
13.01.2013  13:06:42  40.6035	 30.5562   1.4       0.5
14.01.2013  06:41:53  40.7483	 30.1543   11.4      0.5
14.01.2013  15:19:31  40.6278	 30.5160   5.5       0.7
15.01.2013  01:48:17  41.1123	 29.7448   3.8       2.7
15.01.2013  07:23:42  40.3718	 30.0572   3.1       0.7
15.01.2013  11:52:23  40.2338	 29.9672   1.5       1.1
15.01.2013  18:41:17  41.1227	 29.7292   4.4       2.8
15.01.2013  19:51:34  41.1573	 29.7672   1.9       2.2
16.01.2013  10:40:41  40.1853	 29.9973   9.9       2.3
16.01.2013  13:51:07  40.4147	 30.0115   3.2       1.7
16.01.2013  14:14:21  40.6180	 30.3777   7.6       1.4
17.01.2013  14:56:23  40.1540	 30.0192   5.2       2.3
18.01.2013  03:04:20  40.6975	 30.6277   10.3      2.0
18.01.2013  08:13:03  40.4890	 30.7342   11.0      1.2
18.01.2013  09:48:39  40.6673	 30.4690   8.4       1.1
18.01.2013  11:56:52  40.1198	 29.9927   4.7       2.2
18.01.2013  12:35:45  40.7227	 30.5325   18.2      1.8
19.01.2013  10:40:48  40.5928	 30.3153   3.4       1.6
19.01.2013  10:45:16  40.8725	 30.4250   7.6       1.7
20.01.2013  06:14:41  40.7225	 29.9602   6.6       1.3
21.01.2013  11:19:04  40.0785	 29.9980   6.3       1.5
21.01.2013  11:19:45  40.1243	 29.9767   9.4       1.9
23.01.2013  12:44:48  40.3928	 30.1600   5.6       2.6
23.01.2013  15:45:33  40.4142	 30.0167   10.7      1.3
23.01.2013  18:33:25  40.7332	 30.4548   10.3      1.1
24.01.2013  05:25:36  40.2692	 30.9168   6.0       1.5
25.01.2013  10:18:04  40.6202	 30.3217   4.2       1.2
25.01.2013  13:18:16  40.1660	 29.9870   9.3       2.1
25.01.2013  18:45:38  40.7588	 30.1223   11.1      1.8
26.01.2013  17:56:58  40.7562	 30.1413   6.6       1.3
27.01.2013  17:25:34  40.1600	 29.9997   11.9      1.2
28.01.2013  06:49:27  40.3623	 30.1003   4.7       1.4
28.01.2013  09:22:04  40.3740	 30.1622   8.2       1.7
28.01.2013  09:52:23  40.1558	 29.9857   7.5       2.2
28.01.2013  15:13:47  40.6095	 30.3105   8.7       0.4
29.01.2013  12:40:33  40.4043	 29.9710   6.5       1.5
29.01.2013  15:24:15  40.7120	 30.7770   14.0      1.2
30.01.2013  06:53:36  40.6805	 30.6097   5.7       1.3
31.01.2013  08:36:26  40.1298	 29.9997   2.5       2.1
31.01.2013  13:57:22  40.4733	 30.3533   10.3      1.6
31.01.2013  22:25:55  40.6095	 30.6215   5.5       1.4
01.02.2013  10:27:57  40.5908	 30.3113   3.2       1.6
01.02.2013  12:45:50  40.9255	 29.7460   11.7      1.5
02.02.2013  12:46:32  40.1550	 29.9873   6.8       1.9
04.02.2013  10:29:43  40.1423	 30.0080   2.2       1.4
04.02.2013  12:25:26  40.4087	 29.9730   3.7       2.0
04.02.2013  14:27:41  40.9592	 30.5555   2.6       1.5
04.02.2013  21:32:48  40.1418	 30.0550   2.0       1.0
05.02.2013  08:18:51  40.4045	 29.9775   4.9       1.7
07.02.2013  11:14:51  40.1555	 30.0118   6.0       2.3
07.02.2013  14:55:23  40.1412	 29.9985   3.2       2.2
08.02.2013  06:42:23  40.6797	 30.6218   13.5      1.9
08.02.2013  12:18:54  40.5958	 30.3178   2.5       1.7
09.02.2013  10:58:43  40.9273	 29.7517   5.8       1.9
09.02.2013  12:56:20  40.4037	 29.9832   2.8       1.5
10.02.2013  09:44:17  40.1185	 29.9913   15.1      1.8
10.02.2013  09:52:16  40.1412	 30.2043   9.4       0.7
10.02.2013  12:01:44  40.1505	 30.0363   5.0       1.8
11.02.2013  00:02:39  40.7437	 30.2710   12.4      1.2
11.02.2013  00:58:29  40.3718	 30.1238   3.7       1.5
11.02.2013  10:14:27  40.5482	 30.0543   7.0       0.8
12.02.2013  10:08:30  40.1525	 30.0100   11.9      1.9
12.02.2013  15:18:57  40.9397	 30.5900   4.7       1.9
12.02.2013  15:34:57  40.2642	 30.0355   4.1       1.3
12.02.2013  22:46:39  40.7522	 30.3845   10.6      1.0
13.02.2013  19:04:35  40.7088	 30.1827   3.4       0.7
14.02.2013  03:16:35  40.6410	 30.4367   5.3       0.5
14.02.2013  10:05:53  40.1590	 30.2107   7.1       1.5
14.02.2013  10:11:41  40.1387	 29.9910   6.9       1.9
14.02.2013  15:27:39  40.2558	 29.9653   10.7      1.7
14.02.2013  17:54:37  40.8797	 30.6942   12.1      2.7
14.02.2013  23:29:37  40.3350	 30.0173   7.3       1.1
15.02.2013  10:50:46  40.5928	 30.3185   3.0       1.7
15.02.2013  12:54:39  40.4032	 29.9905   8.0       1.1
15.02.2013  17:03:15  40.5260	 30.7017   14.8      1.5
15.02.2013  17:38:51  40.4948	 30.7340   18.5      1.5
16.02.2013  14:30:20  40.6863	 30.1242   4.9       1.2
17.02.2013  00:13:45  40.6975	 31.2120   13.3      1.7
17.02.2013  21:35:23  40.8998	 30.7498   8.6       1.8
18.02.2013  00:21:14  40.3468	 30.0930   4.0       0.8
18.02.2013  14:57:15  40.9200	 30.4037   2.0       1.2
18.02.2013  16:35:23  40.5568	 30.0472   7.2       0.5
19.02.2013  02:00:55  40.6635	 30.4795   7.8       1.9
19.02.2013  02:04:42  40.7418	 30.3483   6.2       1.0
19.02.2013  02:18:41  40.7402	 30.3183   3.5       1.0
19.02.2013  09:20:46  40.1443	 29.9995   2.6       1.9
19.02.2013  13:55:41  40.5847	 30.3178   2.9       1.9
21.02.2013  10:52:39  40.6513	 29.9798   3.3       1.0
21.02.2013  11:39:36  40.7108	 31.2718   6.0       2.3
21.02.2013  14:16:19  40.1548	 29.9985   5.5       1.7
21.02.2013  15:12:18  40.9792	 30.6033   4.6       1.7
22.02.2013  15:41:41  40.1182	 30.1992   8.0       1.1
24.02.2013  05:09:06  40.7570	 30.2737   10.6      2.5
24.02.2013  10:54:50  40.1352	 29.9913   4.6       1.3
24.02.2013  19:40:58  40.7418	 30.2722   7.7       1.0
25.02.2013  10:04:53  40.1292	 29.9880   11.1      1.7
25.02.2013  21:13:29  40.3817	 30.0958   10.9      0.5
26.02.2013  00:29:11  40.6260	 30.0953   11.6      0.8
26.02.2013  04:04:54  40.7555	 30.2672   11.8      2.0
26.02.2013  08:55:30  40.2100	 30.0318   5.3       0.9
26.02.2013  11:22:08  40.8725	 30.4725   3.5       1.3
26.02.2013  12:41:51  40.4182	 30.0628   13.6      1.1
26.02.2013  14:45:09  40.2492	 29.9057   12.1      1.2
28.02.2013  14:30:11  40.1672	 30.2242   10.7      1.1
28.02.2013  14:50:20  40.2562	 30.0047   2.7       1.6
28.02.2013  15:18:56  40.4592	 30.3223   5.6       0.7
01.03.2013  04:43:07  40.7730	 31.0278   6.7       2.3
01.03.2013  06:57:05  40.7763	 31.0303   4.1       2.0
01.03.2013  09:49:30  40.1633	 30.0417   6.4       2.0
01.03.2013  12:17:41  40.1767	 29.9047   14.7      1.3
01.03.2013  12:26:22  40.0032	 30.3532   3.4       1.7
01.03.2013  12:52:24  40.8383	 31.0102   9.5       1.4
01.03.2013  13:04:40  40.3263	 30.1588   6.3       1.3
02.03.2013  01:08:52  40.4013	 30.5017   9.8       0.3
02.03.2013  11:43:29  40.6423	 30.3550   8.0       1.0
02.03.2013  14:26:33  40.7072	 30.3830   8.2       0.9
02.03.2013  15:09:54  40.1283	 30.0223   8.7       1.2
03.03.2013  06:45:53  40.7388	 30.2582   12.1      1.0
03.03.2013  10:01:17  40.1177	 29.9452   18.4      1.6
03.03.2013  17:30:50  40.2380	 30.1497   3.0       1.4
03.03.2013  18:09:09  40.2345	 30.1600   6.0       1.5
03.03.2013  22:36:15  40.8238	 30.9897   5.3       2.0
04.03.2013  11:54:17  40.9305	 29.7398   9.9       1.8
04.03.2013  13:08:18  40.1553	 30.2087   5.0       1.5
05.03.2013  08:57:54  40.1492	 30.0267   4.9       1.3
05.03.2013  12:26:44  40.6818	 30.1242   5.5       0.9
05.03.2013  17:49:33  40.4830	 30.5052   4.4       0.6
05.03.2013  19:50:57  40.2478	 30.1623   3.3       1.4
06.03.2013  10:49:33  40.2853	 29.9245   3.5       1.2
06.03.2013  12:39:03  40.3948	 30.0867   3.6       1.0
07.03.2013  09:22:15  40.5727	 30.5448   4.7       2.5
07.03.2013  10:05:03  40.1498	 29.9830   6.0       2.0
07.03.2013  14:58:05  40.6345	 30.0950   14.4      0.5
08.03.2013  10:08:25  40.6018	 29.8828   9.1       1.4
08.03.2013  10:23:53  40.1570	 30.0287   13.9      1.4
08.03.2013  20:56:13  40.7030	 30.3898   9.2       0.9
09.03.2013  00:42:58  40.6858	 30.3677   5.1       0.7
09.03.2013  09:10:01  40.6422	 30.3417   1.2       0.7
09.03.2013  23:01:12  40.7660	 31.0543   9.6       1.6
10.03.2013  04:47:58  40.8600	 30.4390   2.0       1.1
10.03.2013  09:24:18  40.6342	 30.5838   14.7      1.2
10.03.2013  10:01:48  40.1313	 29.9970   9.5       1.3
11.03.2013  09:57:00  40.2035	 29.9802   19.6      1.1
11.03.2013  19:55:51  40.3723	 30.0580   9.5       0.9
12.03.2013  09:05:45  40.6437	 30.3550   4.7       1.1
13.03.2013  11:22:05  40.4435	 30.3900   6.0       1.0
13.03.2013  12:43:18  40.4177	 30.0312   5.5       1.2
13.03.2013  16:14:27  40.1262	 30.1670   7.4       1.1
14.03.2013  01:39:25  40.7635	 30.8263   3.2       1.6
14.03.2013  12:18:32  40.4807	 30.3177   5.0       1.4
14.03.2013  15:20:48  40.2778	 29.9522   12.4      1.3
15.03.2013  10:09:27  40.5158	 30.0537   13.5      1.2
15.03.2013  17:11:25  40.0437	 30.0307   5.7       1.0
16.03.2013  09:17:08  40.1675	 29.9900   9.9       1.5
